,주제,설명,활동,역할,비고
1,I 연극과 친구되기(1),연극 속으로 풍덩!,해외 명작 감상 & 연극놀이,-,"빔프로젝터, 비디오 플레이어, 스크린"
2,I 연극과 친구되기(2),연극을 이루는 구성요소들,해외 명작 감상 & 연극놀이,-,"빔프로젝터, 비디오 플레이어, 스크린"
3,I 연극과 친구되기(3),엄마와 아이가 함께 하는 몸 상상 연극놀이,연극 체험,-,모두가 뛰놀 수 있는 넓은 공간(마루바닥)
4,I 연극과 친구되기(4),"엄마야, 연극 보러 가자! (1)",월말 공연 관람,-,극장 및 공연현장
5,II 인형과 오브제(1),인형과 연극,해외 명작 감상 & 연극놀이,-,인형재료
6,II 인형과 오브제(2),오브제와 연극,해외 명작 감상 & 연극놀이,-,"주변의 물체, 사물들"
7,II 인형과 오브제(3),엄마와 아이가 함께 만드는 오브제극,연극 체험,-,"인형재료, 일상의 물체, 사물들"
8,II 인형과 오브제(4),"엄마야, 연극 보러 가자! (2)",월말 공연 관람,-,극장 및 공연현장
9,III 조각 그림자(1),그림자와 연극-조각 그림자극 시범,"해외명작감상, 시범 감상",-,"완전암전공간/흰 대형 스크린, 빔프로젝터, 비디오 플레이어"
10,III 조각 그림자(2),조각 만들기,조각 제작 체험,-,"모두가 조각을 만들 수 있는 공간, 책상과 의자/전선줄, 뻰찌, 신문지, 종이테잎, 우드락"
11,III 조각 그림자(3),조각 그림자 극놀이,조각 그림자 극놀이 체험,-,"완전암전공간/흰 대형스크린, 조각을 놓을 책상들, 손전등"
12,III 조각 그림자(4),"엄마야, 연극 보러 가자! (3)",월말 공연 관람,-,극장 및 공연현장
