,주제,설명,활동,역할,비고
1,나는 오브제다(1),"우리의 몸이 오브제가 되어보는 첫 경험이다. 각자의 몸이 평소에 되고 싶었던 오브제가 되어본다. 이때 즉흥적으로 생겨나는 연극상황을 이용, 연극놀이를 한다.","게임, 놀이, 연기, 발표, 토론",모든 단계가 발전적으로 이어지도록 지도.,모두가 움직이기 편한 복장과 공간
2,나는 오브제다(2) - ‘나는 전기선이다’,"우리의 몸이 전기선이 되면서 극놀이의 기본이 되는 몸의 폭발과 통제를 훈련한다. 몸의 감각적, 즉흥적 폭발의 자유로움을 체험하고, 순간적으로 몸을 통제하는 능력을 키운다. 몸에 있는 수백만개의 느낌의 눈을 활용한다.","게임, 놀이, 연기, 발표, 토론.",모든 단계가 발전적으로 이어지도록 지도.,모두가 움직이기 편한 복장과 공간
3,나는 오브제다(3) - ‘나는 조각이다’,"우리의 몸이 조각이 되어보는 체험을 통해 본격적인 오브제의 세계로 들어간다. 각자의 몸조각은 어떤 재료인가, 어떤 이야기를 가지고 있는가, 어떤 작품명을 붙여줄 수 있는가 토론한다.","게임, 놀이, 연기, 발표, 토론",모든 단계가 발전적으로 이어지도록 지도.,모두가 움직이기 편한 복장과 공간
4,종이 오브제 극놀이(1) - 두꺼운 종이,"두꺼운 종이의 다양한 생명력, 성격, 움직임, 소리 등을 발견한다. 발견한 것들을 가지고 다양한 오브제 연극놀이를 한다. 발표된 것을 보고 서로 토론하다.","게임, 관찰, 연기, 발표, 토론",모든 단계가 발전적으로 이어지도록 지도.,모두가 움직이기 편한 복장과 공간/하드보드지
5,종이 오브제 극놀이(2) - 얇은 종이,"얇은 종이의 다양한 생명력, 성격, 움직임, 소리 등을 발견한다. 발견한 것들을 가지고 다양한 오브제 연극놀이를 한다. 발표된 것을 보고 서로 토론하다.","게임, 관찰, 연기, 간단제작, 발표, 토론",모든 단계가 발전적으로 이어지도록 지도.,모두가 움직이기 편한 복장과 공간/모조전지
6,종이 오브제 극놀이(3) - 거대 종이,"각자의 얇은 종이를 이어 어마어마한 거대 종이를 만든다. 거대 종이의 생명력, 성격, 움직임, 소리 등을 발견한다. 발견한 것들을 가지고 다양한 오브제 연극놀이를 한다. 발표된 것을 보고 서로 토론하다.","게임, 관찰, 연기, 간단제작, 발표, 토론",모든 단계가 발전적으로 이어지도록 지도.,모두가 움직이기 편한 복장과 공간/모조전지
7,해외 명작 오브제극 감상,"프랑스, 독일, 이스라엘 등의 오브제극 명작을 비디오로 시청하고 토론한다.",감상 및 토론,모든 단계가 발전적으로 이어지도록 지도.,비디오 시청 가능 공간
8,옷 오브제 극놀이(1),우리가 평소에 입고 있는 옷을 던져 놓고 전혀 낯선 오브제로 바라보기. 그 낯선 오브제와 처음 마주친 상황을 재미있는 즉흥 상황극으로 만들어 보기. 평소와는 다른 기상천외한 방식으로 옷 입기 등등을 통해 수업은 진행된다.,"게임, 관찰, 연기, 간단제작, 발표, 토론",모든 단계가 발전적으로 이어지도록 지도.,모두가 움직이기 편한 복장과 공간/옷
9,옷 오브제 극놀이(2),"우리가 입고 있는 옷(옷 전체, 또는 소매와 같은 부분들)의 다양한 생명력, 성격, 움직임 등을 발견한다. 발견한 것들을 등장인물로 하여 다양한 오브제 연극놀이를 한다. 발표된 것을 보고 서로 토론하다.","게임, 관찰, 연기, 간단제작, 발표, 토론",모든 단계가 발전적으로 이어지도록 지도.,모두가 움직이기 편한 복장과 공간/옷
10,살아나는 오브제,"그동안 오브제들에게 우리의 창조적 생명을 넣어 살아나게 했던 체험을 바탕으로, 바로 우리 주변의 오브제들(예, 양말, 신발, 책상, 벽 등등)을 살아나게 하기. 그 오브제만의 성격, 움직임 등을 발견하고 극놀이하기.","게임, 관찰, 연기, 간단제작, 발표, 토론",모든 단계가 발전적으로 이어지도록 지도.,모두가 움직이기 편한 복장과 공간
11,마리오네뜨 줄인형 극놀이,"가장 복잡하고 섬세한 인형인 줄인형을 강사의 시범으로 감상하고, 각자가 인형에 생명을 넣어 살아나게 하고 연기하게 하는 체험을 한다. 우리의 몸이 직접 줄인형이 되는 체험을 한다.","감상, 체험, 놀이",모든 단계가 발전적으로 이어지도록 지도.,모두가 움직이기 편한 복장과 공간/마리오네뜨
12,오브제들의 파티,"그동안 연극놀이 했던 오브제들 중 학생 각자가 가장 인상적으로 생각되었던 오브제를 가져와 서로 인사하기, 파티와 축제를 벌이기.",파티에서의 역할놀이,모든 단계가 발전적으로 이어지도록 지도.,모두가 움직이기 편한 복장과 공간/파티준비물
