,주제,설명,활동,역할,비고
1,장비의 이해,"디지털 비디오 카메라, 빔프로젝터. 스크린의 기능 이해",장비의 체험과 실험,-,-
2,촬영의 기본,비디오 촬영의 기본을 배운다. 촬영한 것을 조별로 발표하고 토론한다.,"촬영, 발표, 감상 및 토론",-,-
3,디지털 비디오 카메라와 빔 프로젝터의 효과,"실시간 모션 켑쳐 등 특수효과를 이해하고, 그것을 이용 극놀이을 해본다.","영상실험, 연기, 팀별발표, 감상 및 토론",-,-
4,실시간 모션켑쳐를 이용한 극놀이 (1),"공간, 빛, 몸의 다양한 관계를 실시간 모션켑쳐를 통해 실험하고 극으로 구성한다.","영상실험, 연기, 팀별발표, 감상 및 토론",-,-
5,실시간 모션켑쳐를 이용한 극놀이 (2),분열과 과장의 다양한 양태를 실시간 모션켑쳐를 통해 체험하고 극으로 구성한다.,"영상실험, 연기, 팀별발표, 감상 및 토론",-,-
6,몸과 그림영상을 이용한 극놀이 (1),"데생, 회화를 통한 2차원 그림영상의 이해. 몸과 그림영상 간의 대화법 찾기.","그림그리기, 연기, 팀별발표, 감상 및 토론",-,-
7,몸과 그림영상을 이용한 극놀이 (2),기초애니메이션 제작. 몸과 애니메이션 간의 관계로 극놀이 하기.,"제작, 연기, 팀별발표, 감상 및 토론",-,-
8,몸과 촬영영상을 이용한 극놀이 (1),촬영과 프레임에 대한 이해. 거시와 미시에 대한 이해. 촬영영상과 몸과의 대화법 이해.,"촬영, 연기, 팀별발표, 감상 및 토론",-,-
9,몸과 촬영영상을 이용한 극놀이 (2),위의 이해와 실험을 바탕으로 극놀이 하기.,"촬영, 연기, 팀별발표, 감상 및 토론",-,-
10,스크린과 영상을 이용한 극놀이 (1),"스크린의 크기, 위치, 종류에 따른 다양한 효과와 그것을 이용한 극놀이.","실험, 연기, 팀별발표, 감상 및 토론",-,-
11,스크린과 영상을 이용한 극놀이 (2),특수한 사물이나 생명체를 스크린으로 이용할 때의 미적 효과를 체험하기. 극놀이하기,"실험, 연기, 팀별발표, 감상 및 토론",-,-
12,최종 발표회,그동안의 실험을 결과들을 통해 자신을 표현하고 서로를 이해한다.,"발표, 감상 및 토론",-,-
